Title,Company,Location,Salary,Description,Job_Type,Date_posted
newProgram Associate,Fidelis Care,"Remote in New York, NY+1 location",NA,Places follow-up telephone calls.Handles follow-up telephone calls.Handles data entry and maintains database.Assists in preparing monthly audits.,NA,PostedToday
newCustomer Service Concierge - Bronx NY,Securitas,"Bronx, NY 10451 (South Bronx area)",NA,"Must be able to meet and continue to meet any applicable state, county and municipal licensing requirements for Security Officers.EOE/M/F/Vet/Disabilities.",Part-time,Posted1 day ago
Sales Associate,Snipes,"Bronx, NY 10455 (South Bronx area)+4 locations",NA,"We are deeply engrained in our neighborhoods and work with many local partners to provide experiences and tell our stories – be it at food drives, music…",Part-time,Posted10 days ago
"Coordinator, Content",Warner Music Group,"New York, NY",Estimated $37.5K – $47.5K a year,"Curate user generated content for So Satisfying and Satisfying Crafts, assisting in the content licensing process.",Full-time,Posted11 days ago
"newPetitioners! $24/hr, Overtime at $36/hr!",Working Families,"New York, NY",NA,"Engage with registered Democratic voters in meaningful, one-on-one conversations connecting their values to WFP endorsed candidates who will be champions for…",$24 an hour,EmployerActive 2 days ago
Stock Personnel,Snipes,"Bronx, NY 10455 (South Bronx area)+4 locations",Estimated $28K – $35.4K a year,Demonstrate leadership in driving sales and profitability by achieving or exceeding all established store and individual goals.,Part-time,Posted10 days ago
newHousekeeping Worker - New York Eye and Ear - Part Time - 4:3...,Mount Sinai,"New York, NY+1 location",NA,"Cleans, maintains and supplies assigned patient and non-patient areas according to standardized procedures of the department by utilizing mechanical equipment,…",Part-time,Posted2 days ago
newData Entry Technician - Contact Center,NewYork-Presbyterian Hospital,"Manhattan, NY 10065 (Upper East Side area)",NA,"The Data Entry Technician will receive, review and enter data into computer system or tracking database according to established procedures.",Full-time,PostedToday
Purchasing Clerk - Full Time - Days,NewYork-Presbyterian Hospital,"Manhattan, NY 10065 (Upper East Side area)",NA,Answer inquiries from the user departments regarding the status of requisitions.In this role you will place orders from assigned departments in compliance with…,Full-time,Posted14 days ago
newCargo Agent (Customer Service Agent) - JFK,Delta,"New York, NY",NA,"Must have a valid drivers license.Safely driving and operating ground equipment such as tugs, forklifts, and tow tractors in areas of congestion.",Full-time,Posted7 days ago
newClient Advisor - Soho,Louis Vuitton,"New York, NY+1 location",NA,By striving to discover your Clients and their every need you will tailor their experience within our store in order to elevate their experience and impression…,NA,Posted2 days ago
newCORPORATE RECEPTIONIST,Compass Group USA,"New York, NY 10022 (Midtown area)+1 location",NA,"Answer global switchboard calls, direct calls, and manage message receipt and delivery process.Communicating requests to the appropriate internal support…",$24 - $26 an hour,Posted5 days ago
Front Desk Attendant - Fletcher Residence,Project Renewal,"Bronx, NY 10457 (Tremont area)+1 location",NA,"The essential duties of the front desk attendant are to monitor and secure entrances to the building, document observations in a log book, answer and direct…",From $17 an hour,EmployerActive 8 days ago
newFCNY Stock Associate,GOAT,"New York, NY",Estimated $30.6K – $38.8K a year,Pulling requested product from the stock room and delivering to the sales floor.Maintaining organization and cleanliness of stockroom.,Full-time,Posted8 days ago
newFront Desk Receptionist,Pasternack Tilker Ziegler Walsh Stanton & Romano...,"Bronx, NY 10453 (Morris Heights area)",Estimated $29.9K – $37.9K a year,"Handling high volume of calls via the main switchboard, screening and directing calls to the appropriate parties;Ability to work a switchboard;",Full-time,Posted2 days ago
Sales Associate,Snipes,"Bronx, NY 10455 (South Bronx area)+4 locations",Estimated $24.8K – $31.4K a year,Answer the telephone in a friendly and professional manner.Responsible for providing excellent customer service including stock and replenishment.,Part-time,Posted10 days ago
newCustomer Service Concierge - Bronx NY,Securitas,"Bronx, NY 10451 (South Bronx area)",NA,"Must be able to meet and continue to meet any applicable state, county and municipal licensing requirements for Security Officers.",Part-time,Posted1 day ago
Data Entry / HR,IT Consulting of NY,"New York, NY 10025 (Upper West Side area)",NA,Proven experience as data entry clerk.Fast typing skills; Knowledge of touch typing system is strongly preferred.High school degree or equivalent.,"$40,000 - $45,000 a year",Posted9 days ago
newFront Desk Receptionist,Pasternack Tilker Ziegler Walsh Stanton & Romano...,"Bronx, NY 10453 (Morris Heights area)",Estimated $29.9K – $37.9K a year,"Handling high volume of calls via the main switchboard, screening and directing calls to the appropriate parties;Ability to work a switchboard;",Full-time,Posted2 days ago
Sales Associate,Snipes,"Bronx, NY 10455 (South Bronx area)+4 locations",Estimated $24.8K – $31.4K a year,Answer the telephone in a friendly and professional manner.Responsible for providing excellent customer service including stock and replenishment.,Part-time,Posted10 days ago
newCustomer Service Concierge - Bronx NY,Securitas,"Bronx, NY 10451 (South Bronx area)",NA,"Must be able to meet and continue to meet any applicable state, county and municipal licensing requirements for Security Officers.",Part-time,Posted1 day ago
Data Entry / HR,IT Consulting of NY,"New York, NY 10025 (Upper West Side area)",NA,Proven experience as data entry clerk.Fast typing skills; Knowledge of touch typing system is strongly preferred.High school degree or equivalent.,"$40,000 - $45,000 a year",Posted9 days ago
Front Desk Associate,Courtyard New York Midtown West,"New York, NY 10001 (Hell's Kitchen area)",NA,"Monitor phones, emails, and other services to anticipate guest needs and ensure that _no guest leaves unhappy_.High School Diploma or higher.",From $25 an hour,EmployerActive 2 days ago
newRamp Agent (Customer Service Agent) - JFK,Delta,"New York, NY",NA,"Must have a valid drivers license.Safely driving and operating ground equipment such as tugs, belt loaders, and tow tractors in areas of congestion.",Full-time,Posted7 days ago
newHeavy Cleaner,Columbia University,"New York, NY",NA,"The Heavy Cleaner will also clean all bathrooms and kitchens; remove spots and shampoo carpets; sweep and wash with hose exterior sidewalk, steps and courtyard.",$21.30 - $26.62 an hour,Posted1 day ago
newConcierge Courier,Nillam Logistics,"New York, NY",NA,"Employees and customers are required to follow state and local COVID-19 regulations.If you have a car, live in or near New York City, love driving, have…",$40 an hour,EmployerActive 2 days ago
newReceptionist,Williams Leatag,"New York, NY 10036 (Midtown area)",NA,"The Receptionist is responsible for providing covering the reception desk, greeting visitors and general clerical office support.",$24 an hour,Posted2 days ago
newAssistant Bookkeeper,Orwashers Wholesale Bread Bakery,"Bronx, NY 10474 (Hunts Point area)",NA,Quickbooks experience is a must!*.Works under the direction of the Director of Finance.Interacts with customers and coworkers nicely and on a professional…,From $22 an hour,PostedJust posted
newGuest Service Representative,New Age Property Associates,"New York, NY 10017 (Midtown area)",NA,Answer all incoming calls and redirect them or keep messages.The goal is to make guests and visitors feel comfortable and valued while on our premises.,"$45,000 - $50,000 a year",PostedJust posted
newProctor,Brainseed Testing Center,"New York, NY 10018 (Garment District area)",NA,The main goal of this role is to ensure that candidates are being checked in correctly and are being supervised during their exam.,$15 an hour,EmployerActive 3 days ago
newFreelance Fit Model,Quad,"New York, NY",NA,No experience necessary but a plus.There are a variety of clothing types depending on the season.We do 4-8 hour days and sometimes there is one shoot day…,$25 an hour,Posted8 days ago
Cleaner,MaidPro,"New York, NY 10003 (Greenwich Village area)",Estimated $26K – $33K a year,"Competitive hourly wage plus TIPS & BONUS opportunities!Flexible schedule; no nights or weekends!Paid training, travel time and travel expenses.",Part-time +1,Posted9 days ago
newFilm File Clerk,Memorial Sloan Kettering Cancer Center,"New York, NY 10017 (Turtle Bay area)",NA,"Articulate and able to deliver messages in a clear, compelling, and concise manner.A COVID-19 booster, after 2 doses of either the Pfizer or Moderna vaccine or…",Full-time,Posted2 days ago
